Process_all,Process_name,Region,General_information,Unit,count_excel,Process_info_withoutregion,count_all_excel
3-methyl-1-butyl acetate//[RER] 3-methyl-1-butyl acetate production,3-methyl-1-butyl acetate,[RER],3-methyl-1-butyl acetate production,kg,3,3-methyl-1-butyl acetate_3-methyl-1-butyl acetate production,2
4-methyl-2-pentanone//[RER] 4-methyl-2-pentanone production,4-methyl-2-pentanone,[RER],4-methyl-2-pentanone production,kg,3,4-methyl-2-pentanone_4-methyl-2-pentanone production,2
4-tert-butylbenzaldehyde//[RER] 4-tert-butylbenzaldehyde production,4-tert-butylbenzaldehyde,[RER],4-tert-butylbenzaldehyde production,kg,3,4-tert-butylbenzaldehyde_4-tert-butylbenzaldehyde production,2
4-tert-butyltoluene//[RER] 4-tert-butyltoluene production,4-tert-butyltoluene,[RER],4-tert-butyltoluene production,kg,3,4-tert-butyltoluene_4-tert-butyltoluene production,2
"acetamide-anillide-compound, unspecified//[RER] acetamide-anillide-compound production, unspecified","acetamide-anillide-compound, unspecified",[RER],"acetamide-anillide-compound production, unspecified",kg,3,"acetamide-anillide-compound, unspecified_acetamide-anillide-compound production, unspecified",2
acetanilide//[RER] acetanilide production,acetanilide,[RER],acetanilide production,kg,3,acetanilide_acetanilide production,2
"acetic anhydride//[RER] acetic anhydride production, ketene route",acetic anhydride,[RER],"acetic anhydride production, ketene route",kg,6,"acetic anhydride_acetic anhydride production, ketene route",2
acetoacetic acid//[RER] acetoacetic acid production,acetoacetic acid,[RER],acetoacetic acid production,kg,3,acetoacetic acid_acetoacetic acid production,2
solvent for chromatography analysis//[GLO] acetonitrile to generic market for solvent for chromatography analysis,solvent for chromatography analysis,[GLO],acetonitrile to generic market for solvent for chromatography analysis,kg,3,solvent for chromatography analysis_acetonitrile to generic market for solvent for chromatography analysis,1
acetyl chloride//[RER] acetyl chloride production,acetyl chloride,[RER],acetyl chloride production,kg,3,acetyl chloride_acetyl chloride production,2
acetylene//[CH] acetylene production,acetylene,[CH],acetylene production,kg,3,acetylene_acetylene production,2
aclonifen//[RER] aclonifen production,aclonifen,[RER],aclonifen production,kg,3,aclonifen_aclonifen production,2
acrolein//[RER] acrolein production,acrolein,[RER],acrolein production,kg,3,acrolein_acrolein production,2
acrylic acid//[RER] acrylic acid production,acrylic acid,[RER],acrylic acid production,kg,3,acrylic acid_acrylic acid production,2
acrylic filler//[RER] acrylic filler production,acrylic filler,[RER],acrylic filler production,kg,3,acrylic filler_acrylic filler production,2
"acrylic varnish, without water, in 87.5% solution state//[RER] acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",[RER],"acrylic varnish production, product in 87.5% solution state",kg,3,"acrylic varnish, without water, in 87.5% solution state_acrylic varnish production, product in 87.5% solution state",2
adhesive mortar//[CH] adhesive mortar production,adhesive mortar,[CH],adhesive mortar production,kg,3,adhesive mortar_adhesive mortar production,2
"adhesive, for metal//[DE] adhesive production, for metal","adhesive, for metal",[DE],"adhesive production, for metal",kg,3,"adhesive, for metal_adhesive production, for metal",2
adipic acid//[RER] adipic acid production,adipic acid,[RER],adipic acid production,kg,3,adipic acid_adipic acid production,2
"alfalfa-grass mixture, Swiss integrated production//[CH] alfalfa-grass mixture production, Swiss integrated production","alfalfa-grass mixture, Swiss integrated production",[CH],"alfalfa-grass mixture production, Swiss integrated production",kg,2,"alfalfa-grass mixture, Swiss integrated production_alfalfa-grass mixture production, Swiss integrated production",1
"alkyd resin, long oil, without solvent, in 70% white spirit solution state//[RER] alkyd resin production, long oil, product in 70% white spirit solution state","alkyd resin, long oil, without solvent, in 70% white spirit solution state",[RER],"alkyd resin production, long oil, product in 70% white spirit solution state",kg,3,"alkyd resin, long oil, without solvent, in 70% white spirit solution state_alkyd resin production, long oil, product in 70% white spirit solution state",2
"alkylbenzene sulfonate, linear, petrochemical//[RER] alkylbenzene sulfonate production, linear, petrochemical","alkylbenzene sulfonate, linear, petrochemical",[RER],"alkylbenzene sulfonate production, linear, petrochemical",kg,3,"alkylbenzene sulfonate, linear, petrochemical_alkylbenzene sulfonate production, linear, petrochemical",2
"alkylketene dimer sizing agent, for paper production//[RER] alkylketene dimer sizing agent production, for paper production","alkylketene dimer sizing agent, for paper production",[RER],"alkylketene dimer sizing agent production, for paper production",kg,3,"alkylketene dimer sizing agent, for paper production_alkylketene dimer sizing agent production, for paper production",2
alpha-naphthol//[RER] alpha-naphthol production,alpha-naphthol,[RER],alpha-naphthol production,kg,3,alpha-naphthol_alpha-naphthol production,2
alpha-picoline//[RER] alpha-picoline production,alpha-picoline,[RER],alpha-picoline production,kg,3,alpha-picoline_alpha-picoline production,2
"aluminium alloy, AlMg3//[RER] aluminium alloy production, AlMg3","aluminium alloy, AlMg3",[RER],"aluminium alloy production, AlMg3",kg,3,"aluminium alloy, AlMg3_aluminium alloy production, AlMg3",2
"aluminium removed by drilling, computer numerical controlled//[RER] aluminium drilling, computer numerical controlled","aluminium removed by drilling, computer numerical controlled",[RER],"aluminium drilling, computer numerical controlled",kg,3,"aluminium removed by drilling, computer numerical controlled_aluminium drilling, computer numerical controlled",2
"aluminium removed by drilling, conventional//[RER] aluminium drilling, conventional","aluminium removed by drilling, conventional",[RER],"aluminium drilling, conventional",kg,3,"aluminium removed by drilling, conventional_aluminium drilling, conventional",2
aluminium fluoride//[RER] aluminium fluoride production,aluminium fluoride,[RER],aluminium fluoride production,kg,3,aluminium fluoride_aluminium fluoride production,2
aluminium hydroxide//[GLO] aluminium hydroxide production,aluminium hydroxide,[GLO],aluminium hydroxide production,kg,2,aluminium hydroxide_aluminium hydroxide production,1
"aluminium, cast alloy//[GLO] aluminium ingot, primary, to aluminium, cast alloy market","aluminium, cast alloy",[GLO],"aluminium ingot, primary, to aluminium, cast alloy market",kg,6,"aluminium, cast alloy_aluminium ingot, primary, to aluminium, cast alloy market",1
"aluminium, wrought alloy//[GLO] aluminium ingot, primary, to aluminium, wrought alloy market","aluminium, wrought alloy",[GLO],"aluminium ingot, primary, to aluminium, wrought alloy market",kg,6,"aluminium, wrought alloy_aluminium ingot, primary, to aluminium, wrought alloy market",1
"aluminium removed by milling, average//[RER] aluminium milling, average","aluminium removed by milling, average",[RER],"aluminium milling, average",kg,3,"aluminium removed by milling, average_aluminium milling, average",2
"aluminium removed by milling, dressing//[RER] aluminium milling, dressing","aluminium removed by milling, dressing",[RER],"aluminium milling, dressing",kg,3,"aluminium removed by milling, dressing_aluminium milling, dressing",2
"aluminium removed by milling, large parts//[RER] aluminium milling, large parts","aluminium removed by milling, large parts",[RER],"aluminium milling, large parts",kg,3,"aluminium removed by milling, large parts_aluminium milling, large parts",2
"aluminium removed by milling, small parts//[RER] aluminium milling, small parts","aluminium removed by milling, small parts",[RER],"aluminium milling, small parts",kg,3,"aluminium removed by milling, small parts_aluminium milling, small parts",2
aluminium oxide//[GLO] aluminium oxide production,aluminium oxide,[GLO],aluminium oxide production,kg,6,aluminium oxide_aluminium oxide production,1
"aluminium, primary, ingot//[CA-QC] aluminium production, primary, ingot","aluminium, primary, ingot",[CA-QC],"aluminium production, primary, ingot",kg,11,"aluminium, primary, ingot_aluminium production, primary, ingot",10
"aluminium, primary, ingot//[CN] aluminium production, primary, ingot","aluminium, primary, ingot",[CN],"aluminium production, primary, ingot",kg,11,"aluminium, primary, ingot_aluminium production, primary, ingot",10
"aluminium, primary, ingot//[IAI Area 1] aluminium production, primary, ingot","aluminium, primary, ingot",[IAI,"aluminium production, primary, ingot",kg,11,"aluminium, primary, ingot_aluminium production, primary, ingot",10
"aluminium, primary, ingot//[IAI Area 2, without Quebec] aluminium production, primary, ingot","aluminium, primary, ingot",[IAI,"aluminium production, primary, ingot",kg,11,"aluminium, primary, ingot_aluminium production, primary, ingot",10
"aluminium, primary, ingot//[IAI Area 3] aluminium production, primary, ingot","aluminium, primary, ingot",[IAI,"aluminium production, primary, ingot",kg,11,"aluminium, primary, ingot_aluminium production, primary, ingot",10
"aluminium, primary, ingot//[IAI Area 4&5 without China] aluminium production, primary, ingot","aluminium, primary, ingot",[IAI,"aluminium production, primary, ingot",kg,11,"aluminium, primary, ingot_aluminium production, primary, ingot",10
"aluminium, primary, ingot//[IAI Area 8] aluminium production, primary, ingot","aluminium, primary, ingot",[IAI,"aluminium production, primary, ingot",kg,11,"aluminium, primary, ingot_aluminium production, primary, ingot",10
"aluminium, primary, ingot//[UN-EUROPE] aluminium production, primary, ingot","aluminium, primary, ingot",[UN-EUROPE],"aluminium production, primary, ingot",kg,11,"aluminium, primary, ingot_aluminium production, primary, ingot",10
"aluminium, primary, ingot//[UN-OCEANIA] aluminium production, primary, ingot","aluminium, primary, ingot",[UN-OCEANIA],"aluminium production, primary, ingot",kg,11,"aluminium, primary, ingot_aluminium production, primary, ingot",10
"aluminium sulfate, powder//[RER] aluminium sulfate production, powder","aluminium sulfate, powder",[RER],"aluminium sulfate production, powder",kg,3,"aluminium sulfate, powder_aluminium sulfate production, powder",2
"aluminium removed by turning, average, computer numerical controlled//[RER] aluminium turning, average, computer numerical controlled","aluminium removed by turning, average, computer numerical controlled",[RER],"aluminium turning, average, computer numerical controlled",kg,3,"aluminium removed by turning, average, computer numerical controlled_aluminium turning, average, computer numerical controlled",2
"aluminium removed by turning, average, conventional//[RER] aluminium turning, average, conventional","aluminium removed by turning, average, conventional",[RER],"aluminium turning, average, conventional",kg,3,"aluminium removed by turning, average, conventional_aluminium turning, average, conventional",2
"aluminium removed by turning, primarily dressing, computer numerical controlled//[RER] aluminium turning, primarily dressing, computer numerical controlled","aluminium removed by turning, primarily dressing, computer numerical controlled",[RER],"aluminium turning, primarily dressing, computer numerical controlled",kg,3,"aluminium removed by turning, primarily dressing, computer numerical controlled_aluminium turning, primarily dressing, computer numerical controlled",2
"aluminium removed by turning, primarily dressing, conventional//[RER] aluminium turning, primarily dressing, conventional","aluminium removed by turning, primarily dressing, conventional",[RER],"aluminium turning, primarily dressing, conventional",kg,3,"aluminium removed by turning, primarily dressing, conventional_aluminium turning, primarily dressing, conventional",2
"aluminium removed by turning, primarily roughing, computer numerical controlled//[RER] aluminium turning, primarily roughing, computer numerical controlled","aluminium removed by turning, primarily roughing, computer numerical controlled",[RER],"aluminium turning, primarily roughing, computer numerical controlled",kg,3,"aluminium removed by turning, primarily roughing, computer numerical controlled_aluminium turning, primarily roughing, computer numerical controlled",2
"aluminium removed by turning, primarily roughing, conventional//[RER] aluminium turning, primarily roughing, conventional","aluminium removed by turning, primarily roughing, conventional",[RER],"aluminium turning, primarily roughing, conventional",kg,3,"aluminium removed by turning, primarily roughing, conventional_aluminium turning, primarily roughing, conventional",2
ammonium bicarbonate//[RER] ammonium bicarbonate production,ammonium bicarbonate,[RER],ammonium bicarbonate production,kg,3,ammonium bicarbonate_ammonium bicarbonate production,2
ammonium carbonate//[RER] ammonium carbonate production,ammonium carbonate,[RER],ammonium carbonate production,kg,3,ammonium carbonate_ammonium carbonate production,2
ammonium chloride//[GLO] ammonium chloride production,ammonium chloride,[GLO],ammonium chloride production,kg,4,ammonium chloride_ammonium chloride production,1
"ammonium nitrate, as N//[RER] ammonium nitrate production","ammonium nitrate, as N",[RER],ammonium nitrate production,kg,9,"ammonium nitrate, as N_ammonium nitrate production",2
ammonium nitrite//[RER] ammonium nitrite production,ammonium nitrite,[RER],ammonium nitrite production,kg,3,ammonium nitrite_ammonium nitrite production,2
"ammonium sulfate, as N//[RER] ammonium sulfate production","ammonium sulfate, as N",[RER],ammonium sulfate production,kg,4,"ammonium sulfate, as N_ammonium sulfate production",2
ammonium thiocyanate//[GLO] ammonium thiocyanate production,ammonium thiocyanate,[GLO],ammonium thiocyanate production,kg,2,ammonium thiocyanate_ammonium thiocyanate production,1
anhydrite floor//[CH] anhydrite floor production,anhydrite floor,[CH],anhydrite floor production,kg,3,anhydrite floor_anhydrite floor production,2
"anhydrite, burned//[CH] anhydrite production, burned","anhydrite, burned",[CH],"anhydrite production, burned",kg,3,"anhydrite, burned_anhydrite production, burned",2
anhydrite//[CH] anhydrite production,anhydrite,[CH],anhydrite production,kg,3,anhydrite_anhydrite production,2
aniline//[RER] aniline production,aniline,[RER],aniline production,kg,3,aniline_aniline production,2
"anode slime, silver and tellurium containing stockpiling//[US] anode slime, silver and tellurium containing stockpiling","anode slime, silver and tellurium containing stockpiling",[US],"anode slime, silver and tellurium containing stockpiling",kg,3,"anode slime, silver and tellurium containing stockpiling_anode slime, silver and tellurium containing stockpiling",2
anthranilic acid//[RER] anthranilic acid production,anthranilic acid,[RER],anthranilic acid production,kg,3,anthranilic acid_anthranilic acid production,2
antimony//[CN] antimony production,antimony,[CN],antimony production,kg,3,antimony_antimony production,2
apple//[GLO] apple production,apple,[GLO],apple production,kg,2,apple_apple production,1
"application of plant protection product, by field sprayer//[CA-QC] application of plant protection product, by field sprayer","application of plant protection product, by field sprayer",[CA-QC],"application of plant protection product, by field sprayer",ha,4,"application of plant protection product, by field sprayer_application of plant protection product, by field sprayer",3
"application of plant protection product, by field sprayer//[CH] application of plant protection product, by field sprayer","application of plant protection product, by field sprayer",[CH],"application of plant protection product, by field sprayer",ha,4,"application of plant protection product, by field sprayer_application of plant protection product, by field sprayer",3
"argon, liquid//[RER] argon production, liquid","argon, liquid",[RER],"argon production, liquid",kg,3,"argon, liquid_argon production, liquid",2
inert gas for discharge lamps//[GLO] argon to generic market for inert gas for discharge lamps,inert gas for discharge lamps,[GLO],argon to generic market for inert gas for discharge lamps,kg,3,inert gas for discharge lamps_argon to generic market for inert gas for discharge lamps,1
arsine//[GLO] arsine production,arsine,[GLO],arsine production,kg,2,arsine_arsine production,1
"asbestos, crysotile type//[GLO] asbestos production, crysotile type","asbestos, crysotile type",[GLO],"asbestos production, crysotile type",kg,2,"asbestos, crysotile type_asbestos production, crysotile type",1
atrazine//[RER] atrazine production,atrazine,[RER],atrazine production,kg,3,atrazine_atrazine production,2
aubergine//[GLO] aubergine production,aubergine,[GLO],aubergine production,kg,2,aubergine_aubergine production,1
avocado//[GLO] avocado production,avocado,[GLO],avocado production,kg,2,avocado_avocado production,1
bale loading//[CA-QC] bale loading,bale loading,[CA-QC],bale loading,unit,4,bale loading_bale loading,3
bale loading//[CH] bale loading,bale loading,[CH],bale loading,unit,4,bale loading_bale loading,3
baling//[CA-QC] baling,baling,[CA-QC],baling,unit,4,baling_baling,3
baling//[CH] baling,baling,[CH],baling,unit,4,baling_baling,3
banana//[GLO] banana production,banana,[GLO],banana production,kg,2,banana_banana production,1
barite//[CA-QC] barite production,barite,[CA-QC],barite production,kg,4,barite_barite production,3
barite//[RER] barite production,barite,[RER],barite production,kg,4,barite_barite production,3
"barley grain, feed, organic//[CH] barley grain, feed production, organic","barley grain, feed, organic",[CH],"barley grain, feed production, organic",kg,3,"barley grain, feed, organic_barley grain, feed production, organic",2
"barley grain, feed, Swiss integrated production//[CH] barley grain, feed production, Swiss integrated production","barley grain, feed, Swiss integrated production",[CH],"barley grain, feed production, Swiss integrated production",kg,3,"barley grain, feed, Swiss integrated production_barley grain, feed production, Swiss integrated production",2
barley grain//[DE] barley production,barley grain,[DE],barley production,kg,5,barley grain_barley production,4
barley grain//[ES] barley production,barley grain,[ES],barley production,kg,5,barley grain_barley production,4
barley grain//[FR] barley production,barley grain,[FR],barley production,kg,5,barley grain_barley production,4
"barley seed, for sowing//[GLO] barley seed production, for sowing","barley seed, for sowing",[GLO],"barley seed production, for sowing",kg,2,"barley seed, for sowing_barley seed production, for sowing",1
"barley seed, organic, for sowing//[CH] barley seed production, organic, for sowing","barley seed, organic, for sowing",[CH],"barley seed production, organic, for sowing",kg,3,"barley seed, organic, for sowing_barley seed production, organic, for sowing",2
"barley seed, Swiss integrated production, for sowing//[CH] barley seed production, Swiss integrated production, for sowing","barley seed, Swiss integrated production, for sowing",[CH],"barley seed production, Swiss integrated production, for sowing",kg,2,"barley seed, Swiss integrated production, for sowing_barley seed production, Swiss integrated production, for sowing",1
base plaster//[CH] base plaster production,base plaster,[CH],base plaster production,kg,3,base plaster_base plaster production,2
"phosphate fertiliser, as P2O5//[RER] basic slag fertiliser production","phosphate fertiliser, as P2O5",[RER],basic slag fertiliser production,kg,25,"phosphate fertiliser, as P2O5_basic slag fertiliser production",1
"battery, NaCl//[CH] battery production, NaCl, rechargeable","battery, NaCl",[CH],"battery production, NaCl, rechargeable",kg,2,"battery, NaCl_battery production, NaCl, rechargeable",1
"battery, NiMH, rechargeable, prismatic//[GLO] battery production, NiMH, rechargeable, prismatic","battery, NiMH, rechargeable, prismatic",[GLO],"battery production, NiMH, rechargeable, prismatic",kg,2,"battery, NiMH, rechargeable, prismatic_battery production, NiMH, rechargeable, prismatic",1
"sawnwood, beam, hardwood, raw, air dried//[CH] beam, hardwood, raw, air drying","sawnwood, beam, hardwood, raw, air dried",[CH],"beam, hardwood, raw, air drying",m3,3,"sawnwood, beam, hardwood, raw, air dried_beam, hardwood, raw, air drying",2
"sawnwood, beam, hardwood, raw, kiln dried//[CH] beam, hardwood, raw, kiln drying","sawnwood, beam, hardwood, raw, kiln dried",[CH],"beam, hardwood, raw, kiln drying",m3,3,"sawnwood, beam, hardwood, raw, kiln dried_beam, hardwood, raw, kiln drying",2
"sawnwood, beam, softwood, raw, air dried//[CH] beam, softwood, raw, air drying","sawnwood, beam, softwood, raw, air dried",[CH],"beam, softwood, raw, air drying",m3,3,"sawnwood, beam, softwood, raw, air dried_beam, softwood, raw, air drying",2
"sawnwood, beam, softwood, raw, kiln dried//[CH] beam, softwood, raw, kiln drying","sawnwood, beam, softwood, raw, kiln dried",[CH],"beam, softwood, raw, kiln drying",m3,3,"sawnwood, beam, softwood, raw, kiln dried_beam, softwood, raw, kiln drying",2
"beet seed, Swiss integrated production, for sowing//[CH] beet seed production, Swiss integrated production, for sowing","beet seed, Swiss integrated production, for sowing",[CH],"beet seed production, Swiss integrated production, for sowing",kg,3,"beet seed, Swiss integrated production, for sowing_beet seed production, Swiss integrated production, for sowing",2
bentonite quarry infrastructure//[DE] bentonite quarry construction,bentonite quarry infrastructure,[DE],bentonite quarry construction,unit,3,bentonite quarry infrastructure_bentonite quarry construction,2
benzal chloride//[RER] benzal chloride production,benzal chloride,[RER],benzal chloride production,kg,3,benzal chloride_benzal chloride production,2
benzaldehyde//[RER] benzaldehyde production,benzaldehyde,[RER],benzaldehyde production,kg,3,benzaldehyde_benzaldehyde production,2
benzimidazole-compound//[RER] benzimidazole-compound production,benzimidazole-compound,[RER],benzimidazole-compound production,kg,3,benzimidazole-compound_benzimidazole-compound production,2
benzo[thia]diazole-compound//[RER] benzo[thia]diazole-compound production,benzo[thia]diazole-compound,[RER],benzo[thia]diazole-compound production,kg,3,benzo[thia]diazole-compound_benzo[thia]diazole-compound production,2
benzoic-compound//[RER] benzoic-compound production,benzoic-compound,[RER],benzoic-compound production,kg,3,benzoic-compound_benzoic-compound production,2
benzyl alcohol//[RER] benzyl alcohol production,benzyl alcohol,[RER],benzyl alcohol production,kg,3,benzyl alcohol_benzyl alcohol production,2
benzyl chloride//[RER] benzyl chloride production,benzyl chloride,[RER],benzyl chloride production,kg,3,benzyl chloride_benzyl chloride production,2
beverage carton converting//[GLO] beverage carton converting,beverage carton converting,[GLO],beverage carton converting,m2,2,beverage carton converting_beverage carton converting,1
bipyridylium-compound//[RER] bipyridylium-compound production,bipyridylium-compound,[RER],bipyridylium-compound production,kg,3,bipyridylium-compound_bipyridylium-compound production,2
"bisphenol A, powder//[RER] bisphenol A production, powder","bisphenol A, powder",[RER],"bisphenol A production, powder",kg,3,"bisphenol A, powder_bisphenol A production, powder",2
"bitumen adhesive compound, cold//[RER] bitumen adhesive compound production, cold","bitumen adhesive compound, cold",[RER],"bitumen adhesive compound production, cold",kg,3,"bitumen adhesive compound, cold_bitumen adhesive compound production, cold",2
"bitumen adhesive compound, hot//[RER] bitumen adhesive compound production, hot","bitumen adhesive compound, hot",[RER],"bitumen adhesive compound production, hot",kg,3,"bitumen adhesive compound, hot_bitumen adhesive compound production, hot",2
blasting//[RER] blasting,blasting,[RER],blasting,kg,3,blasting_blasting,2
"blower and heat exchange unit, Avent E 97//[RER] blower and heat exchange unit production, Avent E 97","blower and heat exchange unit, Avent E 97",[RER],"blower and heat exchange unit production, Avent E 97",unit,3,"blower and heat exchange unit, Avent E 97_blower and heat exchange unit production, Avent E 97",2
"sawnwood, board, hardwood, raw, air dried//[CH] board, hardwood, raw, air drying","sawnwood, board, hardwood, raw, air dried",[CH],"board, hardwood, raw, air drying",m3,3,"sawnwood, board, hardwood, raw, air dried_board, hardwood, raw, air drying",2
"sawnwood, board, hardwood, raw, kiln dried//[CH] board, hardwood, raw, kiln drying","sawnwood, board, hardwood, raw, kiln dried",[CH],"board, hardwood, raw, kiln drying",m3,3,"sawnwood, board, hardwood, raw, kiln dried_board, hardwood, raw, kiln drying",2
"sawnwood, board, softwood, raw, air dried//[CH] board, softwood, raw, air drying","sawnwood, board, softwood, raw, air dried",[CH],"board, softwood, raw, air drying",m3,3,"sawnwood, board, softwood, raw, air dried_board, softwood, raw, air drying",2
"sawnwood, board, softwood, raw, kiln dried//[CH] board, softwood, raw, kiln drying","sawnwood, board, softwood, raw, kiln dried",[CH],"board, softwood, raw, kiln drying",m3,3,"sawnwood, board, softwood, raw, kiln dried_board, softwood, raw, kiln drying",2
"borax, anhydrous, powder//[RER] borax production, anhydrous, powder","borax, anhydrous, powder",[RER],"borax production, anhydrous, powder",kg,3,"borax, anhydrous, powder_borax production, anhydrous, powder",2
"boric acid, anhydrous, powder//[RER] boric acid production, anhydrous, powder","boric acid, anhydrous, powder",[RER],"boric acid production, anhydrous, powder",kg,3,"boric acid, anhydrous, powder_boric acid production, anhydrous, powder",2
boric oxide//[GLO] boric oxide production,boric oxide,[GLO],boric oxide production,kg,2,boric oxide_boric oxide production,1
boron carbide//[GLO] boron carbide production,boron carbide,[GLO],boron carbide production,kg,2,boron carbide_boron carbide production,1
boron trifluoride//[GLO] boron trifluoride production,boron trifluoride,[GLO],boron trifluoride production,kg,2,boron trifluoride_boron trifluoride production,1
"brass removed by drilling, computer numerical controlled//[RER] brass drilling, computer numerical controlled","brass removed by drilling, computer numerical controlled",[RER],"brass drilling, computer numerical controlled",kg,3,"brass removed by drilling, computer numerical controlled_brass drilling, computer numerical controlled",2
"brass removed by drilling, conventional//[RER] brass drilling, conventional","brass removed by drilling, conventional",[RER],"brass drilling, conventional",kg,3,"brass removed by drilling, conventional_brass drilling, conventional",2
brass//[CH] brass production,brass,[CH],brass production,kg,3,brass_brass production,2
"brass removed by turning, average, computer numerical controlled//[RER] brass turning, average, computer numerical controlled","brass removed by turning, average, computer numerical controlled",[RER],"brass turning, average, computer numerical controlled",kg,3,"brass removed by turning, average, computer numerical controlled_brass turning, average, computer numerical controlled",2
"brass removed by turning, average, conventional//[RER] brass turning, average, conventional","brass removed by turning, average, conventional",[RER],"brass turning, average, conventional",kg,3,"brass removed by turning, average, conventional_brass turning, average, conventional",2
"brass removed by turning, primarily dressing, computer numerical controlled//[RER] brass turning, primarily dressing, computer numerical controlled","brass removed by turning, primarily dressing, computer numerical controlled",[RER],"brass turning, primarily dressing, computer numerical controlled",kg,3,"brass removed by turning, primarily dressing, computer numerical controlled_brass turning, primarily dressing, computer numerical controlled",2
"brass removed by turning, primarily dressing, conventional//[RER] brass turning, primarily dressing, conventional","brass removed by turning, primarily dressing, conventional",[RER],"brass turning, primarily dressing, conventional",kg,3,"brass removed by turning, primarily dressing, conventional_brass turning, primarily dressing, conventional",2
"brass removed by turning, primarily roughing, computer numerical controlled//[RER] brass turning, primarily roughing, computer numerical controlled","brass removed by turning, primarily roughing, computer numerical controlled",[RER],"brass turning, primarily roughing, computer numerical controlled",kg,3,"brass removed by turning, primarily roughing, computer numerical controlled_brass turning, primarily roughing, computer numerical controlled",2
"brass removed by turning, primarily roughing, conventional//[RER] brass turning, primarily roughing, conventional","brass removed by turning, primarily roughing, conventional",[RER],"brass turning, primarily roughing, conventional",kg,3,"brass removed by turning, primarily roughing, conventional_brass turning, primarily roughing, conventional",2
"brazing solder, cadmium free//[RER] brazing solder production, cadmium free","brazing solder, cadmium free",[RER],"brazing solder production, cadmium free",kg,3,"brazing solder, cadmium free_brazing solder production, cadmium free",2
brick production facility//[CA-QC] brick production facility construction,brick production facility,[CA-QC],brick production facility construction,unit,3,brick production facility_brick production facility construction,2
brick//[RER] brick production,brick,[RER],brick production,kg,3,brick_brick production,2
brick shale//[CA-QC] brick shale production,brick shale,[CA-QC],brick shale production,kg,3,brick shale_brick shale production,2
broccoli//[GLO] broccoli production,broccoli,[GLO],broccoli production,kg,2,broccoli_broccoli production,1
bromine//[RER] bromine production,bromine,[RER],bromine production,kg,3,bromine_bromine production,2
bromopropane//[RER] bromopropane production,bromopropane,[RER],bromopropane production,kg,3,bromopropane_bromopropane production,2
bronze//[CH] bronze production,bronze,[CH],bronze production,kg,3,bronze_bronze production,2
"building, hall//[CH] building construction, hall","building, hall",[CH],"building construction, hall",m2,3,"building, hall_building construction, hall",2
building machine//[RER] building machine production,building machine,[RER],building machine production,unit,3,building machine_building machine production,2
"butane//[GLO] butane extraction, from natural gas liquids",butane,[GLO],"butane extraction, from natural gas liquids",kg,5,"butane_butane extraction, from natural gas liquids",1
